,date,open,close,high,low,volume,code
196,2019-12-20,55.36,53.0,55.81,52.68,242130.0,300014
197,2019-12-23,52.65,53.0,54.27,52.35,193520.0,300014
198,2019-12-24,52.66,54.25,55.49,51.51,294782.0,300014
199,2019-12-25,52.3,52.11,52.41,50.43,400290.0,300014
200,2019-12-26,51.98,51.86,53.37,51.11,239979.0,300014
201,2019-12-27,52.04,48.55,52.23,48.48,480331.0,300014
202,2019-12-30,47.8,49.33,49.71,47.78,240638.0,300014
203,2019-12-31,49.7,50.16,51.05,49.2,227520.0,300014
204,2020-01-02,50.8,50.45,51.2,49.3,228400.0,300014
205,2020-01-03,49.52,48.09,50.08,47.51,409364.0,300014
206,2020-01-06,48.5,51.9,52.72,48.47,474027.0,300014
207,2020-01-07,51.91,51.44,52.38,50.32,294041.0,300014
208,2020-01-08,50.83,50.59,52.22,50.17,221162.0,300014
209,2020-01-09,50.88,51.96,52.61,50.5,279745.0,300014
210,2020-01-10,52.6,53.85,54.5,51.82,319734.0,300014
211,2020-01-13,53.93,54.84,56.35,53.93,237030.0,300014
212,2020-01-14,55.47,55.4,56.57,54.7,281473.0,300014
213,2020-01-15,54.7,54.78,54.98,53.35,193804.0,300014
214,2020-01-16,54.53,55.18,55.64,54.18,157182.0,300014
215,2020-01-17,55.48,54.88,56.57,54.0,177737.0,300014
216,2020-01-20,55.6,60.29,60.37,55.6,407464.0,300014
217,2020-01-21,60.1,59.8,60.76,59.0,201993.0,300014
218,2020-01-22,59.8,62.7,64.11,58.31,321535.0,300014
219,2020-01-23,61.5,60.3,63.5,59.0,257123.0,300014
220,2020-02-03,54.27,54.27,57.25,54.27,371124.0,300014
221,2020-02-04,56.99,59.18,59.66,55.5,315010.0,300014
222,2020-02-05,60.8,59.35,63.68,59.0,361035.0,300014
223,2020-02-06,57.32,62.54,63.29,57.02,347531.0,300014
224,2020-02-07,62.5,61.02,62.5,60.35,206758.0,300014
225,2020-02-10,61.5,66.3,66.45,61.03,290032.0,300014
226,2020-02-11,66.3,66.08,67.0,64.51,215035.0,300014
227,2020-02-12,65.01,69.85,71.07,64.88,279804.0,300014
228,2020-02-13,69.5,69.9,73.1,69.32,280477.0,300014
229,2020-02-14,69.3,70.03,72.18,68.8,212710.0,300014
230,2020-02-17,70.15,77.03,77.03,70.15,284268.0,300014
231,2020-02-18,78.58,79.05,82.3,76.51,372739.0,300014
232,2020-02-19,82.18,78.84,83.4,77.02,330016.0,300014
233,2020-02-20,80.11,79.15,80.99,77.61,258386.0,300014
234,2020-02-21,79.8,80.66,80.88,77.03,283490.0,300014
235,2020-02-24,79.24,77.51,79.3,74.76,374569.0,300014
236,2020-02-25,74.79,82.65,85.26,74.4,457332.0,300014
237,2020-02-26,79.13,74.39,80.64,74.39,477441.0,300014
238,2020-02-27,74.2,72.65,75.89,71.5,337921.0,300014
239,2020-02-28,69.02,66.55,70.88,66.11,388438.0,300014
240,2020-03-02,68.94,69.3,70.23,66.56,287982.0,300014
241,2020-03-03,72.01,69.96,74.51,69.15,280700.0,300014
242,2020-03-04,69.24,70.77,72.2,68.75,260315.0,300014
243,2020-03-05,72.0,70.59,72.5,68.77,227289.0,300014
244,2020-03-06,69.14,71.12,72.55,68.89,206998.0,300014
245,2020-03-09,69.0,67.51,70.5,67.01,214920.0,300014
246,2020-03-10,66.77,72.0,72.4,66.37,309030.0,300014
247,2020-03-11,72.74,70.48,72.74,69.9,233656.0,300014
248,2020-03-12,68.29,67.78,69.47,66.67,222298.0,300014
249,2020-03-13,63.0,66.66,68.32,63.0,200071.0,300014
250,2020-03-16,66.1,59.99,66.8,59.99,363811.0,300014
251,2020-03-17,61.52,59.08,62.0,57.11,247412.0,300014
252,2020-03-18,60.01,58.18,62.65,58.0,236479.0,300014
253,2020-03-19,59.77,58.95,60.2,56.52,235322.0,300014
254,2020-03-20,60.42,59.2,60.68,57.4,196452.0,300014
255,2020-03-23,56.64,53.28,57.8,53.28,265223.0,300014
256,2020-03-24,54.3,52.9,54.75,50.45,360708.0,300014
257,2020-03-25,54.95,58.19,58.19,54.75,420146.0,300014
258,2020-03-26,57.59,55.29,57.59,55.25,309047.0,300014
259,2020-03-27,56.45,55.12,57.47,54.88,226628.0,300014
260,2020-03-30,53.21,56.05,57.68,52.0,302582.0,300014
261,2020-03-31,57.4,58.11,58.74,56.8,286957.0,300014
262,2020-04-01,59.3,58.4,61.55,57.4,295936.0,300014
263,2020-04-02,58.0,61.84,61.88,57.61,264797.0,300014
264,2020-04-03,61.8,61.37,63.1,60.75,176099.0,300014
265,2020-04-07,63.22,63.26,64.2,62.18,187839.0,300014
266,2020-04-08,62.79,63.05,64.33,62.18,146792.0,300014
267,2020-04-09,63.75,62.74,63.98,61.4,135564.0,300014
268,2020-04-10,61.17,59.01,61.8,58.56,213754.0,300014
269,2020-04-13,57.0,56.79,58.7,54.96,188871.0,300014
270,2020-04-14,57.96,60.96,61.16,57.61,243717.0,300014
271,2020-04-15,61.58,59.18,61.63,59.13,170978.0,300014
272,2020-04-16,59.24,60.38,60.65,58.29,129982.0,300014
273,2020-04-17,61.6,63.17,64.3,61.6,281563.0,300014
274,2020-04-20,65.49,66.03,66.45,63.4,248759.0,300014
275,2020-04-21,65.0,62.88,65.5,61.85,230508.0,300014
276,2020-04-22,61.87,63.94,64.0,61.48,136529.0,300014
277,2020-04-23,64.0,63.0,64.3,61.92,163697.0,300014
278,2020-04-24,63.0,62.81,64.87,62.52,138170.0,300014
279,2020-04-27,63.0,62.0,63.9,61.8,94420.0,300014
280,2020-04-28,62.3,64.55,65.25,61.53,203778.0,300014
281,2020-04-29,64.03,63.83,64.98,63.1,115837.0,300014
282,2020-04-30,64.83,67.5,68.17,64.82,220384.0,300014
283,2020-05-06,66.67,69.62,70.37,66.45,232687.0,300014
284,2020-05-07,69.29,68.16,69.88,68.08,157688.0,300014
285,2020-05-08,68.59,67.68,68.88,66.58,176344.0,300014
286,2020-05-11,68.08,67.06,68.46,66.38,120883.0,300014
287,2020-05-12,66.9,68.8,68.95,66.48,126594.0,300014
288,2020-05-13,68.2,68.15,69.2,67.54,99705.0,300014
289,2020-05-14,67.98,65.72,67.98,65.66,134167.0,300014
290,2020-05-15,66.12,66.24,67.56,65.61,130720.0,300014
291,2020-05-18,64.9,61.86,64.9,61.4,218404.0,300014
292,2020-05-19,62.41,62.85,64.23,62.2,134043.0,300014
293,2020-05-20,63.85,64.74,68.0,63.85,302218.0,300014
294,2020-05-21,65.98,60.8,66.0,60.7,290978.0,300014
295,2020-05-22,60.81,60.61,61.8,60.0,139110.0,300014
296,2020-05-25,60.6,61.48,61.84,58.97,134425.0,300014
297,2020-05-26,61.96,63.05,63.49,61.62,144415.0,300014
298,2020-05-27,63.29,62.82,65.87,62.65,200638.0,300014
299,2020-05-28,63.2,63.85,64.0,61.74,116591.0,300014
300,2020-05-29,65.16,64.93,65.77,63.86,165451.0,300014
301,2020-06-01,65.92,68.05,68.3,65.1,230133.0,300014
302,2020-06-02,69.45,68.89,69.95,67.9,186178.0,300014
303,2020-06-03,68.89,69.14,70.97,67.9,191780.0,300014
304,2020-06-04,69.34,71.79,72.57,69.32,166547.0,300014
305,2020-06-05,71.82,73.39,73.86,71.05,151235.0,300014
306,2020-06-08,74.8,73.74,76.09,73.46,156925.0,300014
307,2020-06-09,39.0,38.85,39.3,38.01,265518.0,300014
308,2020-06-10,38.7,41.95,42.66,38.63,542895.0,300014
309,2020-06-11,43.06,42.25,43.57,41.98,545540.0,300014
310,2020-06-12,41.42,41.81,43.34,41.41,506308.0,300014
311,2020-06-15,43.0,42.29,43.49,41.5,359862.0,300014
312,2020-06-16,43.2,42.93,44.2,42.57,320504.0,300014
313,2020-06-17,42.8,42.32,42.8,41.74,271504.0,300014
